2020-06-30 09:39:10.008 [main] INFO  com.junction.CameraServerApplication - Starting CameraServerApplication on MS-20170722ZJNZ with PID 11068 (F:\shanxilinxiao\RTSPtoRTMP\target\classes started by Administrator in F:\shanxilinxiao\RTSPtoRTMP)
2020-06-30 09:39:23.480 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 26 ms
2020-06-30 09:39:23.560 [http-nio-8082-exec-1] INFO  com.junction.controller.CameraController - 打开：rtsp://admin:st123456@59.49.36.117:11106/MPEG-4/ch1/main/av_stream
2020-06-30 09:39:35.248 [http-nio-8082-exec-2] INFO  com.junction.controller.CameraController - 打开：rtsp://admin:st123456@59.49.36.116:11106/MPEG-4/ch1/main/av_stream
2020-06-30 09:39:55.124 [http-nio-8082-exec-3] INFO  com.junction.controller.CameraController - 打开：rtsp://admin:st123456@59.49.36.116:11106/MPEG-4/ch1/main/av_stream
2020-06-30 09:40:07.514 [main] INFO  com.junction.CameraServerApplication - Starting CameraServerApplication on MS-20170722ZJNZ with PID 7116 (F:\shanxilinxiao\RTSPtoRTMP\target\classes started by Administrator in F:\shanxilinxiao\RTSPtoRTMP)
2020-06-30 09:40:07.515 [main] INFO  com.junction.CameraServerApplication - No active profile set, falling back to default profiles: default
2020-06-30 09:40:08.025 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-06-30 09:40:08.031 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-06-30 09:40:08.031 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-30 09:40:08.031 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-06-30 09:40:08.094 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/camera] - Initializing Spring embedded WebApplicationContext
2020-06-30 09:40:08.094 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 556 ms
2020-06-30 09:40:08.188 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-30 09:40:08.218 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-06-30 09:40:08.281 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2020-06-30 09:40:08.297 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path '/camera'
2020-06-30 09:40:08.300 [main] INFO  com.junction.CameraServerApplication - Started CameraServerApplication in 1.061 seconds (JVM running for 1.677)
2020-06-30 09:40:12.064 [http-nio-8082-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/camera] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-30 09:40:12.064 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-06-30 09:40:12.068 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2020-06-30 09:40:12.100 [http-nio-8082-exec-1] INFO  com.junction.controller.CameraController - 打开：rtsp://admin:st123456@59.49.36.116:11106/MPEG-4/ch1/main/av_stream
2020-06-30 09:40:37.434 [http-nio-8082-exec-2] INFO  com.junction.controller.CameraController - 打开：rtsp://admin:st123456@59.49.36.116:11106/MPEG-4/ch1/main/av_stream
2020-06-30 09:45:49.440 [http-nio-8082-exec-4] INFO  com.junction.controller.CameraController - 打开：rtsp://admin:st123456@59.49.36.116:11106/MPEG-4/ch1/main/av_stream
2020-06-30 09:48:41.312 [main] INFO  com.junction.CameraServerApplication - Starting CameraServerApplication on MS-20170722ZJNZ with PID 9048 (F:\shanxilinxiao\RTSPtoRTMP\target\classes started by Administrator in F:\shanxilinxiao\RTSPtoRTMP)
2020-06-30 09:48:41.314 [main] INFO  com.junction.CameraServerApplication - No active profile set, falling back to default profiles: default
2020-06-30 09:48:41.862 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-06-30 09:48:41.868 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-06-30 09:48:41.868 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-30 09:48:41.868 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-06-30 09:48:41.916 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/camera] - Initializing Spring embedded WebApplicationContext
2020-06-30 09:48:41.916 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 575 ms
2020-06-30 09:48:42.008 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-30 09:48:42.040 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-06-30 09:48:42.113 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2020-06-30 09:48:42.129 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path '/camera'
2020-06-30 09:48:42.132 [main] INFO  com.junction.CameraServerApplication - Started CameraServerApplication in 1.137 seconds (JVM running for 1.718)
2020-06-30 09:48:44.725 [http-nio-8082-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/camera] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-30 09:48:44.726 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-06-30 09:48:44.731 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-06-30 09:48:44.765 [http-nio-8082-exec-1] INFO  com.junction.controller.CameraController - 打开：rtsp://admin:st123456@59.49.36.116:11106/MPEG-4/ch1/main/av_stream
2020-06-30 09:48:46.016 [pool-1-thread-1] INFO  com.junction.util.CameraPush - rtsp://admin:st123456@59.49.36.116:11106/MPEG-4/ch1/main/av_stream 开始推流...
